stationid,time,temperature,pressure,humidity,winddirection,windspeed,PM25,PM10,NO2,CO,O3,SO2
pingchang_aq,2018-05-09 21:00:00,18.0,989.99115,41.75,25.3125,6.08,54.0,94.0,69.0,0.7,37.0,4.0
pingchang_aq,2018-05-09 22:00:00,15.0,993.3550749999999,40.75,34.065,6.147500000000001,56.0,102.0,103.0,0.7,12.0,6.0
pingchang_aq,2018-05-09 23:00:00,17.0,990.799325,38.5,48.605,5.675000000000001,57.0,113.0,59.0,0.7,46.0,5.0
mentougou_aq,2018-05-09 18:00:00,18.0,993.2773,36.75,203.51999999999998,3.3375,50.0,93.0,49.0,0.7,97.0,3.0
mentougou_aq,2018-05-09 19:00:00,18.0,994.5565,38.25,196.2325,2.2975000000000003,49.0,82.0,39.0,0.6,104.0,2.0
mentougou_aq,2018-05-09 20:00:00,18.0,994.6606999999999,39.25,206.30999999999997,1.9100000000000001,48.0,82.0,43.0,0.7,93.0,2.0
mentougou_aq,2018-05-09 21:00:00,18.4,994.363225,39.75,197.25,1.935,58.0,94.0,56.0,0.7,74.0,2.0
mentougou_aq,2018-05-09 22:00:00,16.0,993.642225,39.25,51.0225,2.045,58.0,99.0,55.0,0.7,78.0,3.0
mentougou_aq,2018-05-09 23:00:00,17.25,992.89185,36.0,64.935,3.375,56.0,97.0,53.0,0.7,82.0,3.0
pinggu_aq,2018-05-09 18:00:00,17.0,1001.140325,42.75,95.3075,8.8225,61.0,63.0,24.0,0.9,135.0,10.0
pinggu_aq,2018-05-09 19:00:00,17.0,1000.925475,44.5,91.39500000000001,8.3225,60.0,61.0,22.0,0.8,128.0,9.0
pinggu_aq,2018-05-09 20:00:00,17.0,1000.7592000000001,45.5,88.58000000000001,7.949999999999999,55.0,63.0,22.0,0.8,93.0,9.0
pinggu_aq,2018-05-09 21:00:00,17.0,1001.9395000000001,45.75,89.3475,7.7225,58.0,65.0,25.0,0.9,115.0,9.0
pinggu_aq,2018-05-09 22:00:00,16.0,1000.716075,43.5,98.86999999999999,7.1899999999999995,63.0,74.0,29.0,0.9,108.0,9.0
pinggu_aq,2018-05-09 23:00:00,17.0,1000.7586,41.25,110.3775,6.8549999999999995,61.0,82.0,36.0,0.9,101.0,9.0
huairou_aq,2018-05-09 18:00:00,17.0,992.4156,44.5,70.895,5.137500000000001,56.0,100.0,21.0,0.7,83.0,3.0
huairou_aq,2018-05-09 19:00:00,17.0,992.2707750000001,46.25,50.7525,5.17,51.0,72.0,19.0,0.7,84.0,2.0
huairou_aq,2018-05-09 20:00:00,17.0,992.1685,47.25,37.0425,5.3675,54.0,97.0,30.0,0.7,93.0,2.0
huairou_aq,2018-05-09 21:00:00,17.0,992.1326750000001,46.75,32.3075,5.5600000000000005,54.0,79.0,22.0,0.8,69.0,2.0
huairou_aq,2018-05-09 22:00:00,15.0,992.1520499999999,44.75,43.5825,5.8825,50.0,76.0,24.0,0.9,71.0,2.0
huairou_aq,2018-05-09 23:00:00,16.0,992.222125,41.5,58.7625,5.5675,53.0,88.0,39.0,0.9,56.0,2.0
miyun_aq,2018-05-09 18:00:00,16.0,997.0388,44.5,92.3075,6.5200000000000005,59.0,91.0,77.0,0.9,50.0,2.0
miyun_aq,2018-05-09 19:00:00,16.0,996.11745,46.0,79.4,5.817499999999999,60.0,85.0,74.0,0.9,49.0,2.0
miyun_aq,2018-05-09 20:00:00,16.0,995.9954,47.0,66.815,5.555,62.0,82.0,57.0,1.0,66.0,2.0
miyun_aq,2018-05-09 21:00:00,16.0,995.9417,46.75,60.697500000000005,5.4925,64.0,84.0,70.0,0.9,32.0,2.0
miyun_aq,2018-05-09 22:00:00,13.0,996.7230999999999,44.25,67.7475,5.85,70.0,87.0,66.0,1.1,38.0,2.0
miyun_aq,2018-05-09 23:00:00,16.0,996.77235,41.5,81.01,5.5125,70.0,90.0,63.0,1.0,39.0,2.0
yanqin_aq,2018-05-09 18:00:00,15.0,939.241025,49.5,64.865,2.6275,59.0,89.0,21.0,0.6,131.0,7.0
yanqin_aq,2018-05-09 19:00:00,15.0,939.040375,51.0,47.565,2.955,58.0,84.0,20.0,0.6,123.0,7.0
yanqin_aq,2018-05-09 20:00:00,15.0,938.909,52.0,34.53,3.2474999999999996,57.0,81.0,21.0,0.5,102.0,5.0
yanqin_aq,2018-05-09 21:00:00,15.0,938.863025,51.75,31.74,3.41,63.0,80.0,24.0,0.5,104.0,5.0
yanqin_aq,2018-05-09 22:00:00,14.0,938.886925,49.75,35.262499999999996,4.680000000000001,61.0,89.0,33.0,0.6,87.0,5.0
yanqin_aq,2018-05-09 23:00:00,14.0,938.9629,46.0,51.362500000000004,4.29,68.0,98.0,47.0,0.6,70.0,6.0
dingling_aq,2018-05-09 18:00:00,18.0,990.891175,39.0,46.8575,4.895,32.0,75.0,20.0,0.6,107.0,5.0
dingling_aq,2018-05-09 19:00:00,18.0,989.7031999999999,40.5,34.7475,5.695,39.0,79.0,22.0,0.6,114.0,5.0
dingling_aq,2018-05-09 20:00:00,18.0,990.6756750000001,41.5,27.345,6.032500000000001,46.0,85.0,26.0,0.7,91.0,4.0
dingling_aq,2018-05-09 21:00:00,18.0,989.99115,41.75,25.3125,6.08,48.0,80.0,29.0,0.8,87.0,4.0
dingling_aq,2018-05-09 22:00:00,15.0,993.3550749999999,40.75,34.065,6.147500000000001,54.0,83.0,37.0,0.8,65.0,3.0
dingling_aq,2018-05-09 23:00:00,17.0,990.799325,38.5,48.605,5.675000000000001,49.0,85.0,44.0,0.8,53.0,4.0
badaling_aq,2018-05-09 18:00:00,15.0,943.2102749999999,49.5,50.2225,2.1750000000000003,69.0,151.0,125.0,0.6,32.0,6.0
badaling_aq,2018-05-09 19:00:00,15.0,943.01705,51.0,35.0225,2.7525000000000004,74.0,196.0,159.0,0.6,2.0,11.0
badaling_aq,2018-05-09 20:00:00,15.0,942.8927,52.0,26.82,3.0925,75.0,178.0,157.0,0.7,2.0,8.0
badaling_aq,2018-05-09 21:00:00,15.0,942.8540499999999,51.25,28.8125,3.21,68.0,126.0,102.0,0.5,25.0,3.0
badaling_aq,2018-05-09 22:00:00,14.0,942.875675,49.25,35.365,4.4125,63.0,106.0,100.0,0.5,35.0,2.0
badaling_aq,2018-05-09 23:00:00,14.0,942.9595999999999,45.0,53.1075,4.4125,61.0,109.0,112.0,0.5,22.0,3.0
miyunshuiku_aq,2018-05-09 18:00:00,16.0,988.7059499999999,46.5,107.425,5.98,46.0,53.0,21.0,0.6,103.0,2.0
miyunshuiku_aq,2018-05-09 19:00:00,16.0,987.78525,48.0,93.9825,5.165,45.0,48.0,21.0,0.6,107.0,2.0
miyunshuiku_aq,2018-05-09 20:00:00,16.0,987.6587999999999,49.0,78.52,4.875,48.0,53.0,21.0,0.6,96.0,2.0
miyunshuiku_aq,2018-05-09 21:00:00,16.0,987.593575,48.25,69.905,4.74,51.0,52.0,16.0,0.7,101.0,2.0
miyunshuiku_aq,2018-05-09 22:00:00,13.0,988.359775,45.75,73.50999999999999,4.859999999999999,54.0,58.0,16.0,0.8,99.0,2.0
miyunshuiku_aq,2018-05-09 23:00:00,16.0,988.3878,42.25,89.885,4.257499999999999,52.0,65.0,16.0,0.8,95.0,2.0
donggaocun_aq,2018-05-09 18:00:00,17.0,1000.5624333333332,43.833333333333336,89.455,8.073333333333334,53.0,71.0,26.0,0.9,104.0,11.0
donggaocun_aq,2018-05-09 19:00:00,17.0,1000.3346333333334,45.166666666666664,85.79833333333335,7.740000000000001,62.0,81.0,28.0,0.9,109.0,11.0
donggaocun_aq,2018-05-09 20:00:00,17.0,1000.1559333333333,46.5,84.02333333333333,7.4816666666666665,70.0,81.0,28.0,0.9,96.0,12.0
donggaocun_aq,2018-05-09 21:00:00,17.333333333333332,1000.9027000000001,46.666666666666664,86.28000000000002,7.308333333333333,70.0,75.0,28.0,0.9,118.0,15.0
donggaocun_aq,2018-05-09 22:00:00,16.0,1000.0924833333333,44.0,99.695,6.579999999999999,80.0,88.0,31.0,1.0,119.0,17.0
donggaocun_aq,2018-05-09 23:00:00,17.0,1000.1256,41.666666666666664,114.33999999999999,6.425,76.0,88.0,31.0,0.9,118.0,16.0
yongledian_aq,2018-05-09 18:00:00,16.5,1015.3424,35.0,183.71,10.275,84.0,142.0,101.0,1.0,51.0,17.0
yongledian_aq,2018-05-09 19:00:00,17.5,1015.125675,37.25,181.855,9.265,91.0,157.0,100.0,1.0,51.0,18.0
yongledian_aq,2018-05-09 20:00:00,17.0,1014.982225,39.25,177.8275,8.41,101.0,153.0,97.0,1.1,32.0,19.0
yongledian_aq,2018-05-09 21:00:00,16.75,1014.9393,40.25,175.27749999999997,7.72,118.0,163.0,117.0,1.1,20.0,23.0
yongledian_aq,2018-05-09 22:00:00,15.5,1014.9763,38.0,184.62,8.6625,124.0,175.0,122.0,1.2,20.0,22.0
yongledian_aq,2018-05-09 23:00:00,17.75,1015.0767000000001,35.5,192.2775,8.8725,132.0,186.0,110.0,1.2,28.0,24.0
yufa_aq,2018-05-09 18:00:00,17.2,1013.499125,37.5,214.7475,10.4375,93.0,163.0,39.0,0.8,106.0,12.0
yufa_aq,2018-05-09 19:00:00,17.85,1013.256975,40.0,211.76250000000002,9.6925,95.0,146.0,34.0,0.8,109.0,13.0
yufa_aq,2018-05-09 20:00:00,18.5,1013.0827,41.75,207.11499999999998,8.9375,91.0,145.0,41.0,0.8,96.0,16.0
yufa_aq,2018-05-09 21:00:00,16.75,1012.8401250000001,42.25,203.27,8.120000000000001,92.0,140.0,33.0,0.8,104.0,14.0
yufa_aq,2018-05-09 22:00:00,16.25,1013.063725,40.0,202.76500000000001,8.74,89.0,123.0,29.0,0.8,111.0,13.0
yufa_aq,2018-05-09 23:00:00,17.25,1013.226725,37.0,204.72500000000002,8.85,90.0,131.0,30.0,0.8,103.0,14.0
liulihe_aq,2018-05-09 18:00:00,17.166666666666668,1008.1259333333333,41.0,237.0233333333333,7.986666666666667,48.0,128.0,91.0,0.6,59.0,2.0
liulihe_aq,2018-05-09 19:00:00,17.166666666666668,1007.8568499999998,43.333333333333336,234.20833333333334,7.353333333333333,59.0,156.0,82.0,0.7,49.0,2.0
liulihe_aq,2018-05-09 20:00:00,17.166666666666668,1007.6631666666668,44.833333333333336,229.9083333333333,6.601666666666667,59.0,150.0,56.0,0.6,79.0,2.0
liulihe_aq,2018-05-09 21:00:00,17.166666666666668,1006.9877166666665,45.0,223.61333333333332,5.75,62.0,137.0,52.0,0.6,84.0,2.0
liulihe_aq,2018-05-09 22:00:00,18.333333333333332,1006.7685666666666,42.333333333333336,211.73333333333335,5.333333333333333,62.0,177.0,65.0,0.7,47.0,2.0
liulihe_aq,2018-05-09 23:00:00,18.666666666666668,1007.7399666666666,39.0,193.99,5.436666666666667,86.0,242.0,87.0,0.8,19.0,9.0
qianmen_aq,2018-05-09 18:00:00,17.5,1011.495725,33.5,191.935,7.7250000000000005,77.0,153.0,99.0,0.7,39.0,9.0
qianmen_aq,2018-05-09 19:00:00,17.5,1011.3196250000001,35.25,187.8725,6.2725,81.0,139.0,100.0,0.8,38.0,8.0
qianmen_aq,2018-05-09 20:00:00,17.5,1011.250675,37.0,175.07,4.62,76.0,140.0,103.0,0.8,79.0,7.0
qianmen_aq,2018-05-09 21:00:00,17.9,1011.276425,38.0,161.3825,3.565,85.0,155.0,131.0,1.0,8.0,8.0
qianmen_aq,2018-05-09 22:00:00,15.5,1011.253025,36.5,162.285,3.6225,86.0,141.0,129.0,1.0,11.0,8.0
qianmen_aq,2018-05-09 23:00:00,17.5,1011.712625,34.5,151.88,3.7024999999999997,70.0,147.0,135.0,1.2,9.0,9.0
yongdingmennei_aq,2018-05-09 18:00:00,17.5,1011.495725,33.5,191.935,7.7250000000000005,63.0,139.0,125.0,0.7,16.0,5.0
yongdingmennei_aq,2018-05-09 19:00:00,17.5,1011.3196250000001,35.25,187.8725,6.2725,70.0,151.0,121.0,0.6,18.0,6.0
yongdingmennei_aq,2018-05-09 20:00:00,17.5,1011.250675,37.0,175.07,4.62,79.0,170.0,124.0,0.7,15.0,6.0
yongdingmennei_aq,2018-05-09 21:00:00,17.9,1011.276425,38.0,161.3825,3.565,87.0,183.0,123.0,0.8,4.0,5.0
yongdingmennei_aq,2018-05-09 22:00:00,15.5,1011.253025,36.5,162.285,3.6225,87.0,187.0,115.0,0.9,2.0,4.0
yongdingmennei_aq,2018-05-09 23:00:00,17.5,1011.712625,34.5,151.88,3.7024999999999997,83.0,135.0,131.0,2.4,2.0,5.0
xizhimenbei_aq,2018-05-09 18:00:00,18.0,1009.8298750000001,32.75,160.005,5.0025,71.0,160.0,110.0,0.7,34.0,7.0
xizhimenbei_aq,2018-05-09 19:00:00,18.0,1009.616925,34.0,148.1825,3.8125000000000004,76.0,173.0,119.0,0.7,28.0,8.0
xizhimenbei_aq,2018-05-09 20:00:00,18.0,1009.6548750000001,36.0,119.0575,3.0250000000000004,77.0,153.0,132.0,0.8,15.0,8.0
xizhimenbei_aq,2018-05-09 21:00:00,18.8,1009.6592,36.5,99.42750000000001,2.925,66.0,137.0,137.0,0.7,2.0,6.0
xizhimenbei_aq,2018-05-09 22:00:00,16.75,1009.74265,36.0,106.6925,3.1475,78.0,168.0,144.0,1.0,2.0,6.0
xizhimenbei_aq,2018-05-09 23:00:00,18.25,1009.922325,34.0,98.1,3.6175,81.0,162.0,138.0,1.1,4.0,7.0
nansanhuan_aq,2018-05-09 18:00:00,17.5,1011.495725,33.5,191.935,7.7250000000000005,76.0,171.0,130.0,0.8,15.0,10.0
nansanhuan_aq,2018-05-09 19:00:00,17.5,1011.3196250000001,35.25,187.8725,6.2725,81.0,165.0,122.0,0.7,19.0,8.0
nansanhuan_aq,2018-05-09 20:00:00,17.5,1011.250675,37.0,175.07,4.62,88.0,165.0,121.0,0.8,16.0,7.0
nansanhuan_aq,2018-05-09 21:00:00,17.9,1011.276425,38.0,161.3825,3.565,98.0,174.0,120.0,0.9,12.0,7.0
nansanhuan_aq,2018-05-09 22:00:00,15.5,1011.253025,36.5,162.285,3.6225,106.0,198.0,134.0,1.1,2.0,8.0
nansanhuan_aq,2018-05-09 23:00:00,17.5,1011.712625,34.5,151.88,3.7024999999999997,97.0,222.0,142.0,1.3,2.0,11.0
dongsihuan_aq,2018-05-09 18:00:00,18.0,1012.409,32.0,155.37,6.362500000000001,69.0,182.0,161.0,0.8,2.0,16.0
dongsihuan_aq,2018-05-09 19:00:00,18.0,1012.3129999999999,34.0,147.8025,5.215,74.0,188.0,156.0,0.8,2.0,16.0
dongsihuan_aq,2018-05-09 20:00:00,18.0,1012.2275750000001,36.0,123.64500000000001,4.2475000000000005,83.0,177.0,150.0,0.9,2.0,16.0
dongsihuan_aq,2018-05-09 21:00:00,18.8,1012.2962500000001,36.5,112.37750000000001,3.9325,88.0,166.0,157.0,1.0,2.0,16.0
dongsihuan_aq,2018-05-09 22:00:00,16.25,1012.3213000000001,36.0,117.1025,4.0649999999999995,89.0,165.0,155.0,1.1,2.0,14.0
dongsihuan_aq,2018-05-09 23:00:00,17.5,1012.7068,33.75,115.1125,4.085,86.0,158.0,138.0,1.1,2.0,11.0
